,股票代码,交易日期,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600196.SH,20200331,33.66,33.78,32.46,32.86,33.3,-0.44,-1.3213,605881.59,1995452.95
1,600196.SH,20200330,33.0,34.24,32.33,33.3,32.65,0.65,1.9908,801057.74,2667733.987
2,600196.SH,20200327,35.1,35.1,32.49,32.65,34.0,-1.35,-3.9706,1114200.63,3761082.891
3,600196.SH,20200326,30.49,34.0,30.35,34.0,30.91,3.09,9.9968,1042547.91,3343602.123
4,600196.SH,20200325,30.23,31.8,29.7,30.91,30.33,0.58,1.9123,883644.23,2723167.65
5,600196.SH,20200324,28.38,30.66,27.32,30.33,27.93,2.4,8.5929,885958.04,2577212.876
6,600196.SH,20200323,28.76,29.27,27.82,27.93,29.56,-1.63,-5.5142,497419.29,1420036.952
7,600196.SH,20200320,29.94,29.94,28.9,29.56,29.85,-0.29,-0.9715,601405.77,1766224.962
8,600196.SH,20200319,29.37,30.03,28.54,29.85,28.62,1.23,4.2977,906950.01,2668444.788
9,600196.SH,20200318,29.8,31.28,28.58,28.62,29.2,-0.58,-1.9863,1182024.53,3547529.535
10,600196.SH,20200317,27.8,29.23,26.99,29.2,26.96,2.24,8.3086,950123.45,2676282.518
11,600196.SH,20200316,27.97,28.5,26.7,26.96,26.1,0.86,3.295,666480.72,1834140.697
12,600196.SH,20200313,25.4,26.18,25.02,26.1,26.59,-0.49,-1.8428,292681.3,751013.877
13,600196.SH,20200312,27.14,27.28,26.39,26.59,27.39,-0.8,-2.9208,231342.34,620084.302
14,600196.SH,20200311,27.97,28.06,27.36,27.39,27.97,-0.58,-2.0737,267841.84,740112.44
15,600196.SH,20200310,28.0,28.3,27.3,27.97,27.88,0.09,0.3228,376748.48,1049096.447
16,600196.SH,20200309,27.8,28.46,27.68,27.88,28.46,-0.58,-2.0379,359338.54,1008017.951
17,600196.SH,20200306,28.5,29.1,28.36,28.46,28.68,-0.22,-0.7671,306265.34,880258.163
18,600196.SH,20200305,28.56,28.84,28.27,28.68,28.52,0.16,0.561,353492.0,1011365.288
19,600196.SH,20200304,27.65,28.84,27.25,28.52,27.73,0.79,2.8489,399728.45,1124769.717
20,600196.SH,20200303,27.87,28.3,27.56,27.73,27.6,0.13,0.471,312954.53,875583.532
21,600196.SH,20200302,27.13,27.75,26.9,27.6,26.88,0.72,2.6786,300811.45,822180.791
22,600196.SH,20200228,27.53,27.9,26.79,26.88,28.05,-1.17,-4.1711,392695.82,1070652.304
23,600196.SH,20200227,28.36,28.79,27.88,28.05,28.04,0.01,0.0357,355266.67,1003044.003
24,600196.SH,20200226,29.17,29.5,28.04,28.04,29.31,-1.27,-4.333,697312.59,2000466.245
25,600196.SH,20200225,26.78,29.47,26.63,29.31,26.79,2.52,9.4065,1089673.14,3102021.505
26,600196.SH,20200224,26.54,26.87,26.43,26.79,26.43,0.36,1.3621,326227.41,871410.628
27,600196.SH,20200221,26.27,26.53,26.07,26.43,26.26,0.17,0.6474,257213.58,675948.281
28,600196.SH,20200220,26.05,26.3,25.95,26.26,26.09,0.17,0.6516,214659.96,561274.818
29,600196.SH,20200219,26.53,26.53,26.04,26.09,26.53,-0.44,-1.6585,265623.46,695779.979
30,600196.SH,20200218,26.82,26.95,26.38,26.53,26.76,-0.23,-0.8595,280860.82,746054.796
31,600196.SH,20200217,26.45,26.79,26.33,26.76,26.46,0.3,1.1338,239261.4,636920.419
32,600196.SH,20200214,26.76,26.95,26.27,26.46,26.72,-0.26,-0.9731,235032.59,624844.678
33,600196.SH,20200213,27.34,27.34,26.61,26.72,27.26,-0.54,-1.9809,277099.64,743332.2
34,600196.SH,20200212,27.2,27.52,26.95,27.26,27.22,0.04,0.147,246144.97,669494.809
35,600196.SH,20200211,27.34,27.43,26.8,27.22,27.27,-0.05,-0.1834,231128.78,625528.227
36,600196.SH,20200210,27.64,27.8,27.0,27.27,27.62,-0.35,-1.2672,299224.33,815469.302
37,600196.SH,20200207,28.2,28.72,27.28,27.62,28.22,-0.6,-2.1262,531686.02,1483524.656
38,600196.SH,20200206,28.4,29.55,27.84,28.22,28.44,-0.22,-0.7736,800543.2,2296504.559
39,600196.SH,20200205,27.52,28.52,26.91,28.44,27.2,1.24,4.5588,628574.18,1729245.766
40,600196.SH,20200204,26.68,27.26,25.77,27.2,25.67,1.53,5.9603,529687.25,1408581.562
41,600196.SH,20200203,23.99,25.97,23.99,25.67,26.18,-0.51,-1.9481,455989.7,1147814.241
42,600196.SH,20200123,26.99,27.28,25.8,26.18,27.06,-0.88,-3.252,291100.99,770583.616
43,600196.SH,20200122,27.98,27.98,26.86,27.06,27.86,-0.8,-2.8715,345334.83,935627.198
44,600196.SH,20200121,27.55,28.13,27.39,27.86,27.4,0.46,1.6788,426808.52,1185716.88
45,600196.SH,20200120,27.25,27.58,26.94,27.4,26.92,0.48,1.7831,273881.76,745310.084
46,600196.SH,20200117,26.89,27.4,26.82,26.92,26.92,0.0,0.0,231253.73,626225.576
47,600196.SH,20200116,26.74,26.92,26.58,26.92,26.68,0.24,0.8996,136221.16,364309.85
48,600196.SH,20200115,26.8,27.09,26.6,26.68,26.83,-0.15,-0.5591,129075.57,346056.367
49,600196.SH,20200114,27.12,27.21,26.8,26.83,27.07,-0.24,-0.8866,156774.75,422572.601
50,600196.SH,20200113,26.98,27.1,26.79,27.07,26.96,0.11,0.408,151950.71,409566.393
51,600196.SH,20200110,26.7,27.2,26.68,26.96,26.6,0.36,1.3534,232936.91,627994.397
52,600196.SH,20200109,26.51,26.74,26.44,26.6,26.3,0.3,1.1407,165439.76,439519.835
53,600196.SH,20200108,26.74,26.79,26.28,26.3,26.9,-0.6,-2.2305,176739.07,467875.339
54,600196.SH,20200107,26.72,27.15,26.72,26.9,26.7,0.2,0.7491,148924.96,400960.312
55,600196.SH,20200106,26.88,27.15,26.63,26.7,27.1,-0.4,-1.476,191874.99,515568.524
56,600196.SH,20200103,27.05,27.23,26.68,27.1,27.04,0.06,0.2219,204279.41,551435.629
57,600196.SH,20200102,26.77,27.08,26.49,27.04,26.6,0.44,1.6541,237973.05,638431.363
